url,label
https://www.google.com/search?q=cybersecurity,0
https://github.com/torvalds/linux,0
https://en.wikipedia.org/wiki/Phishing,0
https://www.python.org/downloads/,0
https://stackoverflow.com/questions/tagged/security,0
https://www.microsoft.com/en-in/security,0
https://mail.google.com/mail/u/0/,0
https://www.amazon.in/gp/help/customer/display.html,0
https://docs.python.org/3/library/urllib.parse.html,0
https://www.bbc.com/news/technology,0
https://www.nytimes.com/section/technology,0
https://www.linkedin.com/in/example,0
https://developer.mozilla.org/en-US/docs/Web/Security,0
https://www.apple.com/in/iphone/,0
https://accounts.google.com/signin,0
http://secure-paypal-login.verify-account.tk/update,1
http://192.168.1.50:8080/bank/login//confirm,1
http://apple.com@login-verify.example-secure.xyz/,1
http://paytm-kyc-update.account-verify.top/confirm/password,1
http://sbi-netbanking.secure-login-verify.ml/login.php,1
http://amazon.com.account-suspended.cf/unlock,1
http://xn--pypal-4ve.com/verify/login,1
http://microsoft-support.billing-invoice.click/pay,1
http://45.33.12.9/hdfc/secure/login,1
http://netflix-billing-update.xyz/account/confirm?id=1234,1
http://g00gle-verify-account.icu/signin,1
http://dhl-parcel-confirm.tk/track/update,1
http://login.facebook.com.security-check.work/verify,1
http://icici-wallet-unlock.gq/banking/login,1
http://whatsapp-verify.secure-update.top/account,1
